,tweet_id,text,favorite_count,retweet_count,created_at,source,reply_to_status,reply_to_user,retweets,favorites
0,1599542513232236546,Kartu Bpjs Kesehatan Terbaru – Info Aktual https://t.co/0Z0kThlCri,0,0,2022-12-04 23:13:47+00:00,WordPress.com,,,0,0
1,1599541690993627136,"RT @BPJSTKinfo: Mekanisme:
1. Follow media sosial resmi BPJS Ketenagakerjaan (Instagram, Facebook, Twitter) 
2. Reply tweet ini dan tulis u…",0,201,2022-12-04 23:10:31+00:00,Twitter for Android,,,201,0
2,1599541426403975169,"@densatjo Ya sudahlah nak.. segera berobat… periksa kejiwaanmu ya… kalau gak tercover BPJS, ada kok program gratis… https://t.co/B3Vrppx3Rh",0,0,2022-12-04 23:09:28+00:00,Twitter for iPhone,1.5995406639424676e+18,densatjo,0,0
3,1599540624331800576,"RT @Damarandii: @jellenazgi @tanyarlfes Sekedar info bagi sender, luka melepuh karena terbakar omongan netijen &amp; luka bonyok karena terhant…",0,10,2022-12-04 23:06:17+00:00,Twitter for Android,,,10,0
4,1599540453686145024,"@BPJSTKinfo B : Beli ayam sambal matah
P : Paket lengkap sama Es Degan
J : Just congratulations BPJS yang lagi Ulta… https://t.co/Lp5qddgifP",0,0,2022-12-04 23:05:36+00:00,Twitter for Android,1.59937065233485e+18,BPJSTKinfo,0,0
5,1599540404294422529,@BoyzFess_ Antrianya kaya poli bpjs,0,0,2022-12-04 23:05:25+00:00,Twitter for iPhone,1.5994275525187666e+18,BoyzFess_,0,0
6,1599540361743196160,"@BPJSTKinfo B : Beli ayam sambal matah
P : Paket lengkap sama Es Degan
J : Just congratulations BPJS yang lagi Ulta… https://t.co/JLvUat9mCB",0,0,2022-12-04 23:05:14+00:00,Twitter for Android,1.59937065233485e+18,BPJSTKinfo,0,0
7,1599540193509662720,"@BPJSTKinfo B : Beli ayam sambal matah
P : Paket lengkap sama Es Degan
J : Just congratulations BPJS yang lagi Ulta… https://t.co/nEsv52VyjM",0,0,2022-12-04 23:04:34+00:00,Twitter for Android,1.59937065233485e+18,BPJSTKinfo,0,0
8,1599540109707481089,"@BPJSTKinfo B : Beli ayam sambal matah
P : Paket lengkap sama Es Degan
J : Just congratulations BPJS yang lagi Ulta… https://t.co/94MycclPTP",0,0,2022-12-04 23:04:14+00:00,Twitter for Android,1.59937065233485e+18,BPJSTKinfo,0,0
9,1599539628482392064,"@BPJSTKinfo B : Beli ayam sambal matah
P : Paket lengkap sama Es Degan
J : Just congratulations BPJS yang lagi Ulta… https://t.co/bSwp3hwlr5",0,0,2022-12-04 23:02:20+00:00,Twitter for Android,1.59937065233485e+18,BPJSTKinfo,0,0
10,1599539518159622144,@Sandaal_kejepit @noire172 Hooh udah di buka. Cuma kok bisa2nya mereka mikir begitu ya? Jago blokir tapi ga bisa ja… https://t.co/4jLneiwV3z,0,0,2022-12-04 23:01:53+00:00,Twitter for Android,1.599534709570429e+18,Sandaal_kejepit,0,0
11,1599539351033372673,Coba uangku banyak ga impaksi nunggu bpjs aku😭,0,0,2022-12-04 23:01:13+00:00,Twitter for Android,,,0,0
12,1599539054424788993,"RT @BPJSTKinfo: Mekanisme:
1. Follow media sosial resmi BPJS Ketenagakerjaan (Instagram, Facebook, Twitter) 
2. Reply tweet ini dan tulis u…",0,201,2022-12-04 23:00:03+00:00,Twitter for Android,,,201,0
13,1599538761368358912,@arXa_d @e100ss dari awal wong suroboyo akeh seng gak setuju suramadu gratis tambah barbar bangun tanah pemkot. Utk… https://t.co/EJd5ULw4gW,0,0,2022-12-04 22:58:53+00:00,Twitter for Android,1.5993259762569708e+18,arXa_d,0,0
14,1599538483093475328,"RT @BPJSTKinfo: Mekanisme:
1. Follow media sosial resmi BPJS Ketenagakerjaan (Instagram, Facebook, Twitter) 
2. Reply tweet ini dan tulis u…",0,201,2022-12-04 22:57:47+00:00,Twitter for Android,,,201,0
15,1599538462952390656,@helmihelmi Verifikator BPJS pas liat foto ini: ah ini mah gak bisa gw acc klaimnya,0,0,2022-12-04 22:57:42+00:00,Twitter for Android,1.599451493119447e+18,helmihelmi,0,0
16,1599537900500443136,@cilokojekserebu Pakai bpjs bisa ka?,0,0,2022-12-04 22:55:28+00:00,Twitter Web App,1.5993624826359357e+18,cilokojekserebu,0,0
17,1599536889278910464,"@Askrlfess bs nder, keadaan yg udah bener2 sakit, bisa juga misal lagi sakit udh berobat dan gada perubahan biasany… https://t.co/ka7jUEeM1Q",0,0,2022-12-04 22:51:27+00:00,Twitter Web App,1.5995336064181535e+18,Askrlfess,0,0
18,1599536426609422337,"RT @BPJSTKinfo: Mekanisme:
1. Follow media sosial resmi BPJS Ketenagakerjaan (Instagram, Facebook, Twitter) 
2. Reply tweet ini dan tulis u…",0,201,2022-12-04 22:49:36+00:00,Twitter for Android,,,201,0
19,1599536200750014464,"@fmuchtar_ @fpoemsh Gw mau 100% full gratis dengan mengintegrasikan sistem di swasta dan pemerintah.

Ya spt kata l… https://t.co/0bdHlWhYQH",0,0,2022-12-04 22:48:42+00:00,Twitter for Android,1.5995357462262047e+18,fmuchtar_,0,0
20,1599536126967963648,"@Askrlfess Bisa, langsung aja ke igd. Nanti disana jg ditanya keluhannya apa, trs bilang aja admnya mau pake bpjs.",0,0,2022-12-04 22:48:25+00:00,Twitter for Android,1.5995358037843026e+18,Askrlfess,0,0
21,1599536103346049024,@Alpha_Phoenix__ @fpoemsh Sama meningkatkan fungsi promotif dan preventif puskesmas. Selama ini puskesmas juga masi… https://t.co/nNyYqlVyMW,0,0,2022-12-04 22:48:19+00:00,Twitter for Android,1.5995357462262047e+18,fmuchtar_,0,0
22,1599535765847158784,@nurulie_ Salam Sahabat. Mohon maaf atas ketidaknyamanannya. Silakan dapat melakukan konfirmasi  ke kantor cabang B… https://t.co/aULPHGgyBY,0,0,2022-12-04 22:46:59+00:00,Sociomedio Pro Enterprise,1.599535531909845e+18,nurulie_,0,0
23,1599535746226204678,@Alpha_Phoenix__ @fpoemsh Sistem layanan kesehatan kita sudah jauh mengalami perbaikan dan dengan BPJS kesehatan ud… https://t.co/offMRySO7r,0,0,2022-12-04 22:46:54+00:00,Twitter for Android,1.5995345303352402e+18,Alpha_Phoenix__,0,0
24,1599535436539768832,@indrixx @maellifIuous Beda sama bpjs yg di mana kita tinggal input kode diagnosa aja (ICD10) lalu nanti biaya pasi… https://t.co/AgFA0RGvGp,0,0,2022-12-04 22:45:40+00:00,Twitter for Android,1.599535196449411e+18,Sycophancys,0,0
25,1599535203344846848,"@Askrlfess Bisa kok, ke UGD kalo emang bener2 badan udah gabisa tahan sakitnya, tp semisal kita udh ke UGD tapi men… https://t.co/ovBjKim3zi",0,0,2022-12-04 22:44:45+00:00,Twitter for Android,1.5995336064181535e+18,Askrlfess,0,0
26,1599535196239704065,"RT @BPJSTKinfo: Mekanisme:
1. Follow media sosial resmi BPJS Ketenagakerjaan (Instagram, Facebook, Twitter) 
2. Reply tweet ini dan tulis u…",0,201,2022-12-04 22:44:43+00:00,Twitter for Android,,,201,0
27,1599534324394905601,"RT @BPJSTKinfo: Mekanisme:
1. Follow media sosial resmi BPJS Ketenagakerjaan (Instagram, Facebook, Twitter) 
2. Reply tweet ini dan tulis u…",0,201,2022-12-04 22:41:15+00:00,Twitter for Android,,,201,0
28,1599534277661978624,"@Askrlfess Ya kalo udah kesakitan banget dan darurat, langsung aja ke igd, nanti ditanganin. Kalo emang bener2 daru… https://t.co/czujQlmmPe",0,0,2022-12-04 22:41:04+00:00,Twitter for Android,1.5995336064181535e+18,Askrlfess,0,0
29,1599534022581157889,"@Askrlfess Bisa ko untuk keadaan darurat seperti penyakit yang harus segera di tangani, nanti di arahkan ko untuk a… https://t.co/Iy3v4axa9t",0,0,2022-12-04 22:40:03+00:00,Twitter for Android,1.5995336064181535e+18,Askrlfess,0,0
30,1599530890685997058,@afriyanaaaaaa @durpilsz @txtfrombrand pantesan suamiku yg kerja di salah satu anak perusahaan kan dapat asuransi d… https://t.co/mhmT7udkJU,0,0,2022-12-04 22:27:36+00:00,Twitter for Android,1.599452431137792e+18,afriyanaaaaaa,0,0
31,1599530750944374784,"RT @BPJSTKinfo: Mekanisme:
1. Follow media sosial resmi BPJS Ketenagakerjaan (Instagram, Facebook, Twitter) 
2. Reply tweet ini dan tulis u…",0,201,2022-12-04 22:27:03+00:00,Twitter for Android,,,201,0
32,1599530538934894592,@BPJSTKinfo Selamet ulang tahun BPJS,0,0,2022-12-04 22:26:12+00:00,Twitter for Android,1.59937065233485e+18,BPJSTKinfo,0,0
33,1599530492080328704,"@BPJSTKinfo Mabruk alfa Mabruk 🙏
selamat ulang tahun buat BPJS 🥳
Saengil chuka hamida 🎁🎊
Happy Birthday buat BPJAMS… https://t.co/ddToJQh7Aw",0,0,2022-12-04 22:26:01+00:00,Twitter for Android,1.59937065233485e+18,BPJSTKinfo,0,0
34,1599530428683415552,"@txtfrombrand Udah berobat di RS Muhammadiyah aja, tersebar seantero Indonesia. Pengalaman pakai BPJS pun ramah, di… https://t.co/loMvZ7DXT4",0,0,2022-12-04 22:25:46+00:00,Twitter for Android,1.5993962425720627e+18,txtfrombrand,0,0
